ix	iy	Dee	FED	sid	Ch	Harness	PNA	PNB
1	41	1	651	0	594	12	109	204
1	42	1	651	0	576	12	109	204
1	43	1	651	0	577	12	109	204
1	44	1	651	0	578	12	109	204
1	45	1	651	0	579	12	109	204
1	46	1	651	0	400	12	109	204
1	47	1	651	0	401	12	109	204
1	48	1	651	0	402	12	109	204
1	49	1	651	0	403	12	109	204
1	50	1	651	0	404	12	109	204
1	51	1	651	0	204	9	106	201
1	52	1	651	0	203	9	106	201
1	53	1	651	0	202	9	106	201
1	54	1	651	0	201	9	106	201
1	55	1	651	0	200	9	106	201
1	56	1	651	0	28	9	106	201
1	57	1	651	0	27	9	106	201
1	58	1	651	0	26	9	106	201
1	59	1	651	0	25	9	106	201
1	60	1	651	0	40	9	106	201
2	41	1	651	0	593	12	109	204
2	42	1	651	0	575	12	109	204
2	43	1	651	0	582	12	109	204
2	44	1	651	0	583	12	109	204
2	45	1	651	0	584	12	109	204
2	46	1	651	0	405	12	109	204
2	47	1	651	0	406	12	109	204
2	48	1	651	0	407	12	109	204
2	49	1	651	0	408	12	109	204
2	50	1	651	0	409	12	109	204
2	51	1	651	0	209	9	106	201
2	52	1	651	0	208	9	106	201
2	53	1	651	0	207	9	106	201
2	54	1	651	0	206	9	106	201
2	55	1	651	0	205	9	106	201
2	56	1	651	0	29	9	106	201
2	57	1	651	0	32	9	106	201
2	58	1	651	0	31	9	106	201
2	59	1	651	0	30	9	106	201
2	60	1	651	0	41	9	106	201
3	41	1	651	0	592	12	109	204
3	42	1	651	0	580	12	109	204
3	43	1	651	0	581	12	109	204
3	44	1	651	0	588	12	109	204
3	45	1	651	0	589	12	109	204
3	46	1	651	0	410	12	109	204
3	47	1	651	0	411	12	109	204
3	48	1	651	0	412	12	109	204
3	49	1	651	0	413	12	109	204
3	50	1	651	0	414	12	109	204
3	51	1	651	0	214	9	106	201
3	52	1	651	0	213	9	106	201
3	53	1	651	0	212	9	106	201
3	54	1	651	0	211	9	106	201
3	55	1	651	0	210	9	106	201
3	56	1	651	0	34	9	106	201
3	57	1	651	0	33	9	106	201
3	58	1	651	0	38	9	106	201
3	59	1	651	0	35	9	106	201
3	60	1	651	0	42	9	106	201
4	36	1	651	0	826	12	109	204
4	37	1	651	0	828	12	109	204
4	38	1	651	0	829	12	109	204
4	39	1	651	0	832	12	109	204
4	40	1	651	0	834	12	109	204
4	41	1	651	0	591	12	109	204
4	42	1	651	0	586	12	109	204
4	43	1	651	0	587	12	109	204
4	44	1	651	0	597	12	109	204
4	45	1	651	0	599	12	109	204
4	46	1	651	0	415	12	109	204
4	47	1	651	0	416	12	109	204
4	48	1	651	0	417	12	109	204
4	49	1	651	0	418	12	109	204
4	50	1	651	0	419	12	109	204
4	51	1	651	0	219	9	106	201
4	52	1	651	0	218	9	106	201
4	53	1	651	0	217	9	106	201
4	54	1	651	0	216	9	106	201
4	55	1	651	0	215	9	106	201
4	56	1	651	0	48	9	106	201
4	57	1	651	0	46	9	106	201
4	58	1	651	0	39	9	106	201
4	59	1	651	0	36	9	106	201
4	60	1	651	0	43	9	106	201
4	61	1	650	0	618	8	104	209
4	62	1	650	0	616	8	104	209
4	63	1	650	0	614	8	104	209
4	64	1	650	0	612	8	104	209
4	65	1	650	0	610	8	104	209
5	36	1	651	0	825	12	109	204
5	37	1	651	0	827	12	109	204
5	38	1	651	0	830	12	109	204
5	39	1	651	0	831	12	109	204
5	40	1	651	0	833	12	109	204
5	41	1	651	0	590	12	109	204
5	42	1	651	0	585	12	109	204
5	43	1	651	0	595	12	109	204
5	44	1	651	0	596	12	109	204
5	45	1	651	0	598	12	109	204
5	46	1	651	0	420	12	109	204
5	47	1	651	0	421	12	109	204
